Survey month,Parameter,State and territory,Sex,Classification,Category,Full_time,Full_time_RSE,Part_time,Part_time_RSE,With paid leave entitlements,With paid leave entitlements_RSE,Without paid leave entitlements,Without paid leave entitlements_RSE,Total,Total_RSE,Sub_Category,ParentCategory
2014,Median weekly earnings,Australia,Persons,Relationship in household,Family member,1231.0,1.0,456.0,1.1,1116.0,1.1,418.08,2.4,982.0,0.9,,Family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,"   Husband, wife or partner",1300.0,0.8,560.0,1.4,1200.0,0.6,600.0,1.8,1100.0,0.9,"Husband, wife or partner",Family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,      With dependants,1399.658,1.5,599.0,1.9,1250.0,1.7,586.444,3.9,1150.0,2.1,With dependants,Family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,      Without dependants,1250.0,1.2,540.0,1.7,1150.0,1.7,600.0,2.6,1050.0,1.2,Without dependants,Family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,   Lone parent,1171.171,2.3,515.643,3.2,1050.0,2.4,426.23,8.4,900.0,2.6,Lone parent,Family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,   Dependent student,703.726,12.0,144.0,3.5,250.0,8.5,132.0,4.6,150.0,3.4,Dependent student,Family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,   Non-dependent child,900.0,2.5,415.761,3.1,850.0,2.7,492.124,5.3,760.0,1.7,Non-dependent child,Family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,   Other related individual,1035.674,2.8,432.459,6.7,997.112,3.9,546.231,9.3,862.047,4.6,Other related individual,Family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,Non-family member,1200.0,1.1,497.149,2.5,1150.0,1.6,600.0,5.5,1035.0,1.8,,Non-family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,   Lone person,1283.015,1.5,550.0,4.1,1219.885,1.2,663.253,7.9,1150.0,1.4,Lone person,Non-family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,   Not living alone,1070.813,2.3,400.0,5.9,1035.0,2.3,576.254,6.6,950.0,2.4,Not living alone,Non-family member
2014,Median weekly earnings,Australia,Persons,Relationship in household,Relationship not determined,1000.0,7.7,249.583,72.3,1100.0,10.2,328.084,51.6,817.917,7.5,,Relationship not determined
2014,Median weekly earnings,Australia,Males,Relationship in household,Family member,1342.0,1.2,378.0,3.4,1310.0,0.8,575.0,3.5,1200.0,0.9,,Family member
2014,Median weekly earnings,Australia,Males,Relationship in household,"   Husband, wife or partner",1438.0,1.6,527.702,4.2,1417.9,0.9,850.0,3.0,1350.0,1.4,"Husband, wife or partner",Family member
2014,Median weekly earnings,Australia,Males,Relationship in household,      With dependants,1500.0,0.9,556.576,4.6,1500.0,1.1,900.0,3.4,1438.0,1.8,With dependants,Family member
2014,Median weekly earnings,Australia,Males,Relationship in household,      Without dependants,1350.0,1.8,506.159,6.3,1318.123,1.0,797.62,3.6,1250.0,2.0,Without dependants,Family member
2014,Median weekly earnings,Australia,Males,Relationship in household,   Lone parent,1418.462,4.8,522.34,25.4,1400.0,5.4,600.0,29.0,1349.26,3.9,Lone parent,Family member
2014,Median weekly earnings,Australia,Males,Relationship in household,   Dependent student,753.79,17.3,150.0,3.5,250.0,7.7,140.0,5.5,150.0,2.6,Dependent student,Family member
