Survey month,State and territory,Leave entitlements,Industry,Classification,Category,Persons Weekly Earnings,Persons Weekly Earnings_RSE,Persons Hourly Earnings,Persons Hourly Earnings_RSE,Persons Employees 000,Persons Employees 000_RSE,Males Weekly Earnings,Males Weekly Earnings_RSE,Males Hourly Earnings,Males Hourly Earnings_RSE,Males Employees 000,Males Employees 000_RSE,Females Weekly Earnings,Females Weekly Earnings_RSE,Females Hourly Earnings,Females Hourly Earnings_RSE,Females Employees 000,Females Employees_RSE,Sub_Category,ParentCategory,Industry_Code
2014,Australia,With leave entitlements,"Agriculture, forestry and fishing",Mean earnings,Full-time,1189.119,12.823,27.352,12.441,0,0,1235.875,12.559,28.153,12.3,0,0,933.923,29.414,22.781,28.435,0,0,,Full-time,A
2014,Australia,With leave entitlements,"Agriculture, forestry and fishing",Mean earnings,Part-time,459.082,42.766,20.524,44.328,0,0,433.135,49.487,19.787,47.972,0,0,563.692,82.024,23.495,87.542,0,0,,Part-time,A
2014,Australia,With leave entitlements,"Agriculture, forestry and fishing",Mean earnings,Total,1147.889,12.654,26.959,12.366,0,0,1192.767,12.434,27.698,12.24,0,0,907.509,28.181,22.835,26.68,0,0,,Total,A
2014,Australia,With leave entitlements,Mining,Mean earnings,Full-time,2445.778,9.051,53.515,9.261,0,0,2528.858,9.096,54.232,9.176,0,0,1914.283,18.742,48.959,18.417,0,0,,Full-time,B
2014,Australia,With leave entitlements,Mining,Mean earnings,Part-time,1128.215,42.937,54.036,36.445,0,0,517.873,77.328,55.621,60.915,0,0,1472.675,49.462,53.142,49.609,0,0,,Part-time,B
2014,Australia,With leave entitlements,Mining,Mean earnings,Total,2421.942,9.005,53.525,9.248,0,0,2513.52,9.105,54.242,9.265,0,0,1878.893,18.231,49.295,17.658,0,0,,Total,B
2014,Australia,With leave entitlements,Manufacturing,Mean earnings,Full-time,1402.542,3.956,36.205,3.837,0,0,1433.971,4.047,36.797,4.101,0,0,1279.287,7.477,33.882,7.011,0,0,,Full-time,C
2014,Australia,With leave entitlements,Manufacturing,Mean earnings,Part-time,665.998,10.369,30.389,9.825,0,0,694.199,25.069,29.32,23.09,0,0,652.013,12.348,30.918,12.148,0,0,,Part-time,C
2014,Australia,With leave entitlements,Manufacturing,Mean earnings,Total,1340.883,3.837,35.717,3.621,0,0,1406.881,3.913,36.522,3.838,0,0,1134.312,6.485,33.195,5.662,0,0,,Total,C
2014,Australia,With leave entitlements,"Electricity, gas, water and waste services",Mean earnings,Full-time,1636.829,6.892,42.719,7.402,0,0,1680.382,7.409,43.349,7.774,0,0,1432.942,13.712,39.767,14.472,0,0,,Full-time,D
2014,Australia,With leave entitlements,"Electricity, gas, water and waste services",Mean earnings,Part-time,939.264,45.109,32.091,40.066,0,0,848.851,52.636,29.569,46.002,0,0,1092.936,59.916,36.377,57.309,0,0,,Part-time,D
2014,Australia,With leave entitlements,"Electricity, gas, water and waste services",Mean earnings,Total,1608.815,6.84,42.292,7.276,0,0,1654.623,7.348,42.922,7.686,0,0,1405.427,13.902,39.493,14.492,0,0,,Total,D
