Survey month,State and territory,Leave entitlements,Industry,Classification,Median weekly earnings,Median hourly earnings,Males Median weekly earnings,Males Median hourly earnings,Females Median weekly earnings,Females Median hourly earnings
14,Australia,Total employees,"Agriculture forestry and fishing",Mean earnings,921.0,24.7,"1,009.2",25.8,652.3,21.4
14,Australia,Total employees,Mining,Mean earnings,"2,366.9",52.6,"2,455.6",52.8,"1,854.9",51.2
14,Australia,Total employees,Manufacturing,Mean earnings,"1,228.9",33.7,"1,332.1",35.0,955.1,30.1
14,Australia,Total employees,"Electricity gas water and waste services",Mean earnings,"1,600.1",42.7,"1,655.5",43.7,"1,365.5",38.6
14,Australia,Total employees,Construction,Mean earnings,"1,397.4",34.4,"1,454.1",34.3,972.4,35.1
14,Australia,Total employees,Wholesale trade,Mean earnings,"1,318.8",36.9,"1,439.7",38.1,"1,076.3",34.6
14,Australia,Total employees,Retail trade,Mean earnings,697.8,24.5,878.4,26.7,567.3,22.9
14,Australia,Total employees,Accommodation and food services,Mean earnings,555.3,21.2,623.8,21.8,505.7,20.7
14,Australia,Total employees,"Transport postal and warehousing",Mean earnings,"1,346.8",36.4,"1,440.2",37.2,"1,046.7",33.8
14,Australia,Total employees,Information media and telecommunications,Mean earnings,"1,470.5",41.5,"1,658.3",44.1,"1,183.2",37.7
14,Australia,Total employees,Financial and insurance services,Mean earnings,"1,629.4",45.7,"2,024.2",52.9,"1,287.3",39.5
14,Australia,Total employees,"Rental hiring and real estate services",Mean earnings,"1,313.7",36.2,"1,700.1",41.2,"1,025.7",32.5
14,Australia,Total employees,"Professional scientific and technical services",Mean earnings,"1,553.2",45.0,"1,828.6",49.4,"1,226.7",39.8
14,Australia,Total employees,Administrative and support services,Mean earnings,"1,041.0",32.4,"1,182.7",33.2,921.9,31.6
14,Australia,Total employees,Public administration and safety,Mean earnings,"1,406.5",42.1,"1,514.0",42.4,"1,294.2",41.8
14,Australia,Total employees,Education and training,Mean earnings,"1,143.5",42.4,"1,376.9",46.8,"1,041.4",40.5
14,Australia,Total employees,Health care and social assistance,Mean earnings,"1,047.9",35.6,"1,381.5",41.5,963.6,34.1
14,Australia,Total employees,Arts and recreation services,Mean earnings,844.8,33.1,986.4,33.1,691.9,33.1
14,Australia,Total employees,Other services,Mean earnings,999.0,28.9,"1,199.4",31.6,717.0,25.0
15,Australia,Total employees,"Agriculture forestry and fishing",Mean earnings,"1,062.8",28.3,"1,173.8",30.1,798.0,23.8
15,Australia,Total employees,Mining,Mean earnings,"2,402.1",54.7,"2,455.0",54.8,"2,081.9",54.5
15,Australia,Total employees,Manufacturing,Mean earnings,"1,304.8",35.4,"1,398.6",36.5,"1,008.3",31.9
15,Australia,Total employees,"Electricity gas water and waste services",Mean earnings,"1,692.6",45.1,"1,764.8",45.4,"1,457.9",44.3
15,Australia,Total employees,Construction,Mean earnings,"1,396.5",34.4,"1,440.1",34.4,"1,083.8",34.7
15,Australia,Total employees,Wholesale trade,Mean earnings,"1,268.8",34.8,"1,387.5",35.8,"1,040.3",32.9
15,Australia,Total employees,Retail trade,Mean earnings,726.8,25.2,888.7,27.0,611.7,23.9
15,Australia,Total employees,Accommodation and food services,Mean earnings,584.0,22.1,667.7,22.8,517.0,21.5
15,Australia,Total employees,"Transport postal and warehousing",Mean earnings,"1,285.5",34.7,"1,382.5",35.7,"1,006.9",31.9
15,Australia,Total employees,Information media and telecommunications,Mean earnings,"1,448.4",42.3,"1,683.2",45.9,"1,156.2",37.9
15,Australia,Total employees,Financial and insurance services,Mean earnings,"1,646.7",46.9,"2,057.9",55.9,"1,288.6",39.0
15,Australia,Total employees,"Rental hiring and real estate services",Mean earnings,"1,272.4",36.8,"1,612.3",43.7,"1,010.2",31.6
15,Australia,Total employees,"Professional scientific and technical services",Mean earnings,"1,545.1",45.3,"1,825.9",50.1,"1,178.8",39.1
15,Australia,Total employees,Administrative and support services,Mean earnings,"1,017.5",31.0,"1,133.1",31.5,912.8,30.6
15,Australia,Total employees,Public administration and safety,Mean earnings,"1,411.5",41.4,"1,560.3",42.5,"1,256.5",40.1
15,Australia,Total employees,Education and training,Mean earnings,"1,162.4",42.1,"1,360.1",46.2,"1,084.1",40.5
15,Australia,Total employees,Health care and social assistance,Mean earnings,"1,060.4",35.7,"1,404.4",40.9,973.7,34.5
15,Australia,Total employees,Arts and recreation services,Mean earnings,871.4,31.6,984.8,34.5,735.8,28.1
15,Australia,Total employees,Other services,Mean earnings,"1,002.6",30.1,"1,128.5",31.5,774.8,27.5
16,Australia,Total employees,"Agriculture forestry and fishing",Mean earnings,"1,052.3",29.8,"1,135.6",30.5,793.5,27.6
16,Australia,Total employees,Mining,Mean earnings,"2,276.6",52.5,"2,348.4",53.6,"1,894.5",46.8
16,Australia,Total employees,Manufacturing,Mean earnings,"1,287.3",34.6,"1,391.4",36.0,999.4,30.8
16,Australia,Total employees,"Electricity gas water and waste services",Mean earnings,"1,672.4",45.2,"1,761.1",45.1,"1,361.3",45.2
16,Australia,Total employees,Construction,Mean earnings,"1,339.1",33.8,"1,384.5",33.8,"1,007.2",33.9
16,Australia,Total employees,Wholesale trade,Mean earnings,"1,294.7",35.9,"1,380.7",36.1,"1,086.4",35.4
16,Australia,Total employees,Retail trade,Mean earnings,758.4,26.7,936.2,29.3,624.5,24.8
16,Australia,Total employees,Accommodation and food services,Mean earnings,604.6,22.5,693.4,23.5,530.4,21.7
16,Australia,Total employees,"Transport postal and warehousing",Mean earnings,"1,359.2",36.7,"1,449.0",37.3,"1,081.9",35.0
16,Australia,Total employees,Information media and telecommunications,Mean earnings,"1,575.9",45.6,"1,772.2",50.1,"1,280.9",39.0
16,Australia,Total employees,Financial and insurance services,Mean earnings,"1,652.2",47.4,"2,050.8",55.4,"1,331.9",41.0
16,Australia,Total employees,"Rental hiring and real estate services",Mean earnings,"1,261.4",36.9,"1,609.9",43.2,"1,007.2",32.3
16,Australia,Total employees,"Professional scientific and technical services",Mean earnings,"1,592.7",45.9,"1,850.6",50.0,"1,234.5",40.2
16,Australia,Total employees,Administrative and support services,Mean earnings,999.6,34.5,"1,111.7",37.1,899.7,32.2
16,Australia,Total employees,Public administration and safety,Mean earnings,"1,492.7",44.1,"1,633.6",45.8,"1,354.2",42.4
16,Australia,Total employees,Education and training,Mean earnings,"1,185.8",42.3,"1,372.9",45.7,"1,111.0",41.0
16,Australia,Total employees,Health care and social assistance,Mean earnings,"1,066.4",36.1,"1,432.5",43.7,976.0,34.2
16,Australia,Total employees,Arts and recreation services,Mean earnings,893.5,31.5,"1,063.9",33.5,708.2,29.3
16,Australia,Total employees,Other services,Mean earnings,"1,037.2",30.7,"1,267.8",33.7,771.4,27.4
17,Australia,Total employees,"Agriculture forestry and fishing",Mean earnings,"1,112.6",29.2,"1,173.7",28.3,954.5,31.4
17,Australia,Total employees,Mining,Mean earnings,"2,439.1",57.9,"2,546.7",58.9,"1,946.9",53.7
17,Australia,Total employees,Manufacturing,Mean earnings,"1,292.7",35.7,"1,384.9",36.7,"1,033.9",33.0
