ANZSCO Code,Occupation,Share of workers who work full-time hours (%),Average full-time hours worked per week,Median full-time earnings per week,Median full-time hourly earnings
1311,Advertising Public Relations and Sales Manager,90,44,"$2,331",$62
1321,Corporate Services Managers,86,44,"$2,958",$79
1322,Finance Managers,88,45,"$3,120",$84
1323,Human Resource Managers,89,45,"$2,946",$82
1324,Policy and Planning Managers,90,44,"$2,584",$70
1325,Research and Development Managers,83,44,"$2,448",$65
1331,Construction Managers,92,47,"$3,691",$97
1332,Engineering Managers,91,45,"$2,961",$80
1333,Importers Exporters and Wholesalers,77,46,"$1,707",$45
1335,Production Managers,95,47,"$2,588",$64
1336,Supply Distribution and Procurement Managers,93,46,"$2,675",$71
1341,Child Care Centre Managers,76,41,"$1,412",$38
1342,Health and Welfare Services Managers,82,43,"$2,016",$53
1344,Other Education Managers,91,44,"$2,640",$70
1351,ICT Managers,94,44,"$3,534",$93
1399,Other Specialist Managers,92,43,"$2,746",$72
1411,Cafe and Restaurant Managers,77,46,"$1,441",$37
1421,Retail Managers,81,45,"$1,472",$36
1491,Amusement Fitness and Sports Centre Managers,74,43,"$1,806",$48
1492,Call Contact Centre and Customer Service Managers,94,43,"$1,888",$50
1493,Conference and Event Organisers,78,41,"$1,538",$40
1494,Transport Services Managers,85,48,"$1,771",$46
1499,Other Hospitality Retail and Service Managers,84,44,"$2,213",$57
2121,Artistic Directors Media Producers and Presenters,81,46,"$1,866",$47
2122,Authors and Book and Script Editors,60,44,"$2,500",$62
2123,Film Television Radio and Stage Directors,84,45,"$1,862",$48
2124,Journalists and Other Writers,69,42,"$1,842",$49
2211,Accountants,85,43,"$1,841",$48
2212,Auditors Company Secretaries and Corporate Treasurers,90,43,"$2,046",$54
2221,Financial Brokers,88,45,"$1,635",$43
2222,Financial Dealers,86,47,"$2,407",$63
2223,Financial Investment Advisers and Managers,86,45,"$2,320",$61
2231,Human Resource Professionals,83,41,"$1,870",$50
2233,Training and Development Professionals,81,42,"$2,146",$57
2241,Actuaries Mathematicians and Statisticians,91,42,"$2,213",$58
2242,Archivists Curators and Records Managers,73,41,"$1,995",$54
2243,Economists,91,43,"$1,954",N/A
2244,Intelligence and Policy Analysts,81,41,"$1,936",$52
2245,Land Economists and Valuers,82,45,"$2,021",$53
2246,Librarians,69,39,"$1,780",$48
2247,Management and Organisation Analysts,83,43,"$2,308",$61
2249,Other Information and Organisation Professionals,86,41,"$2,166",$57
2251,Advertising and Marketing Professionals,82,42,"$1,803",$48
2252,ICT Sales Professionals,93,43,"$3,201",$82
2253,Public Relations Professionals,78,42,"$1,949",$53
2254,Technical Sales Representatives,93,42,"$2,612",$68
2311,Air Transport Professionals,88,43,"$2,496",$65
2312,Marine Transport Professionals,88,54,"$2,218",$52
2321,Architects and Landscape Architects,81,44,"$1,688",$44
2322,Surveyors and Spatial Scientists,93,46,"$2,301",$59
2323,Fashion Industrial and Jewellery Designers,85,43,"$1,500",$40
2324,Graphic and Web Designers and Illustrators,77,42,"$1,500",$40
2325,Interior Designers,73,43,"$2,612",$65
2326,Urban and Regional Planners,86,40,"$2,036",$57
2332,Civil Engineering Professionals,90,44,"$2,264",$60
2334,Electronics Engineers,86,41,"$1,782",$44
2335,Industrial Mechanical and Production Engineers,92,43,"$2,151",$58
2336,Mining Engineers,93,50,"$3,365",$86
2339,Other Engineering Professionals,88,42,"$2,502",$62
2341,Agricultural and Forestry Scientists,82,43,"$1,934",$53
2342,Chemists and Food and Wine Scientists,87,42,"$1,828",$48
2343,Environmental Scientists,78,42,"$1,841",$48
2344,Geologists Geophysicists and Hydrogeologists,90,51,"$2,618",$66
2345,Life Scientists,79,42,"$1,948",$54
2346,Medical Laboratory Scientists,75,42,"$2,004",$55
2347,Veterinarians,75,45,"$1,862",$43
2349,Other Natural and Physical Science Professionals,84,42,"$2,052",$56
2411,Early Childhood (Pre-primary School) Teachers,50,41,"$1,660",$44
2412,Primary School Teachers,65,45,"$2,000",$56
2414,Secondary School Teachers,78,45,"$2,166",$58
2415,Special Education Teachers,64,43,"$2,153",$60
2421,University Lecturers and Tutors,71,45,"$2,732",$73
2422,Vocational Education Teachers,70,42,"$1,886",$50
2491,Education Advisers and Reviewers,74,42,"$2,478",$68
2492,Private Tutors and Teachers,20,43,"$1,876",$52
2493,Teachers of English to Speakers of Other Languages,24,42,"$2,053",$59
2511,Nutrition Professionals,44,41,"$2,090",N/A
2512,Medical Imaging Professionals,66,40,"$2,297",$61
2513,Occupational and Environmental Health Professionals,89,44,"$2,135",$55
2514,Optometrists and Orthoptists,75,40,"$2,280",$60
2515,Pharmacists,65,42,"$2,071",$55
2519,Other Health Diagnostic and Promotion Professionals,65,41,"$1,812",$48
2523,Dental Practitioners,63,42,"$3,877",$102
2524,Occupational Therapists,63,40,"$1,526",$40
2525,Physiotherapists,66,41,"$1,710",$43
2527,Audiologists and Speech Pathologists Therapists,62,41,"$1,971",$49
2531,General Practitioners and Resident Medical Officers,78,45,"$2,616",$63
2533,Specialist Physicians,84,48,"$4,657",N/A
2539,Other Medical Practitioners,73,46,"$3,774",$84
2541,Midwives,48,41,"$2,387",$63
2542,Nurse Educators and Researchers,59,41,"$2,203",$58
2543,Nurse Managers,77,43,"$2,608",$67
2544,Registered Nurses,55,41,"$2,156",$56
2611,ICT Business and Systems Analysts,94,41,"$2,742",$71
2612,Multimedia Specialists and Web Developers,92,41,"$2,252",$61
2613,Software and Applications Programmers,94,41,"$2,496",$64
2621,Database and Systems Administrators and ICT Security Specialists,94,41,"$2,284",$59
2631,Computer Network Professionals,96,41,"$2,308",$62
2632,ICT Support and Test Engineers,96,40,"$2,202",$57
2633,Telecommunications Engineering Professionals,94,41,"$2,577",$68
2712,Judicial and Other Legal Professionals,76,44,"$2,708",$74
2713,Solicitors,87,46,"$1,828",$50
2721,Counsellors,60,41,"$1,477",$39
2722,Ministers of Religion,66,45,"$1,367",N/A
2723,Psychologists and Psychotherapists,54,42,"$2,054",$59
2724,Social Professionals,56,41,"$1,758",$48
2725,Social Workers,68,40,"$1,850",$48
2726,Welfare Recreation and Community Arts Workers,67,41,"$1,926",$50
3111,Agricultural Technicians,87,41,"$1,944",N/A
3112,Medical Technicians,62,41,"$1,322",$35
3114,Science Technicians,73,43,"$1,638",$43
3121,Architectural Building and Surveying Technicians,91,46,"$2,115",$50
3122,Civil Engineering Draftspersons and Technicians,90,42,"$1,738",$46
3123,Electrical Engineering Draftspersons Technicians,92,45,"$2,580",$64
3124,Electronic Engineering Draftspersons Technicians,87,42,"$2,736",$67
3125,Mechanical Engineering Draftspersons Technicians,88,43,"$1,823",$46
3126,Safety Inspectors,92,45,"$3,295",$84
3129,Other Building and Engineering Technicians,96,52,"$3,024",$68
3131,ICT Support Technicians,90,40,"$1,442",$38
3132,Telecommunications Technical Specialists,93,41,"$2,334",$62
3211,Automotive Electricians,94,49,"$1,888",$42
3212,Motor Mechanics,90,44,"$1,405",$35
3222,Sheetmetal Trades Workers,93,43,"$1,286",$35
3223,Structural Steel and Welding Trades Workers,96,46,"$1,755",$41
3231,Aircraft Maintenance Engineers,93,42,"$1,978",$47
3232,Metal Fitters and Machinists,95,50,"$2,243",$52
3241,Panelbeaters,91,42,"$1,684",$39
3243,Vehicle Painters,94,42,"$1,660",$40
3311,Bricklayers and Stonemasons,86,42,"$1,597",$45
3312,Carpenters and Joiners,92,43,"$1,787",$44
3322,Painting Trades Workers,80,42,"$1,400",$35
3331,Glaziers,91,42,"$1,341",$35
3341,Plumbers,93,44,"$2,000",$52
3411,Electricians,93,45,"$2,204",$53
3421,Airconditioning and Refrigeration Mechanics,93,43,"$2,019",$46
3422,Electrical Distribution Trades Workers,97,44,"$2,797",$66
3423,Electronics Trades Workers,82,42,"$1,525",$40
3424,Telecommunications Trades Workers,90,42,"$1,595",$42
3511,Bakers and Pastrycooks,72,43,"$1,353",$36
3513,Chefs,78,43,"$1,330",$34
3514,Cooks,37,42,"$1,198",$31
3611,Animal Attendants and Trainers,56,46,"$1,280",$32
3623,Greenkeepers,80,40,"$1,298",$34
3911,Hairdressers,52,40,"$1,121",$26
3921,Print Finishers and Screen Printers,74,40,"$1,298",$31
