SAL_CODE21,SAL_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,SHAPE_Leng,SHAPE_Area
20001,Abbeyard,2,Victoria,AUS,Australia,327.5008,http://linked.data.gov.au/dataset/asgsed3/SAL/20001,1.20767803824,0.033162488954
20002,Abbotsford (Vic.),2,Victoria,AUS,Australia,1.7405,http://linked.data.gov.au/dataset/asgsed3/SAL/20002,0.092990125675,0.000178083530682
20003,Aberfeldie,2,Victoria,AUS,Australia,1.5515,http://linked.data.gov.au/dataset/asgsed3/SAL/20003,0.059373611747,0.000158654701285
20004,Aberfeldy,2,Victoria,AUS,Australia,10.8319,http://linked.data.gov.au/dataset/asgsed3/SAL/20004,0.183199092691,0.00110662759768
20005,Acheron,2,Victoria,AUS,Australia,72.6602,http://linked.data.gov.au/dataset/asgsed3/SAL/20005,0.514040317323,0.00738126880102
20006,Ada,2,Victoria,AUS,Australia,61.6697,http://linked.data.gov.au/dataset/asgsed3/SAL/20006,0.436532438097,0.00631233743133
20007,Adams Estate,2,Victoria,AUS,Australia,0.2154,http://linked.data.gov.au/dataset/asgsed3/SAL/20007,0.022043483365,2.2222404111e-05
20008,Addington,2,Victoria,AUS,Australia,18.5958,http://linked.data.gov.au/dataset/asgsed3/SAL/20008,0.205464574792,0.0018921829881
20009,Adelaide Lead,2,Victoria,AUS,Australia,38.5026,http://linked.data.gov.au/dataset/asgsed3/SAL/20009,0.293689731667,0.00390178098802
20010,Agnes,2,Victoria,AUS,Australia,15.7167,http://linked.data.gov.au/dataset/asgsed3/SAL/20010,0.269749917294,0.00162711203686
20011,Aintree,2,Victoria,AUS,Australia,6.7302,http://linked.data.gov.au/dataset/asgsed3/SAL/20011,0.126428347728,0.000687758951914
20012,Aire Valley,2,Victoria,AUS,Australia,16.2383,http://linked.data.gov.au/dataset/asgsed3/SAL/20012,0.262884512885,0.00168134685659
20013,Aireys Inlet,2,Victoria,AUS,Australia,19.6138,http://linked.data.gov.au/dataset/asgsed3/SAL/20013,0.235446094518,0.0020237456691
20014,Airly,2,Victoria,AUS,Australia,25.1658,http://linked.data.gov.au/dataset/asgsed3/SAL/20014,0.284630604448,0.00258241091944
20015,Airport West,2,Victoria,AUS,Australia,3.6748,http://linked.data.gov.au/dataset/asgsed3/SAL/20015,0.08253533869,0.000375589452513
20016,Albacutya,2,Victoria,AUS,Australia,98.5194,http://linked.data.gov.au/dataset/asgsed3/SAL/20016,0.484226932311,0.00981581093195
20017,Albanvale,2,Victoria,AUS,Australia,1.8634,http://linked.data.gov.au/dataset/asgsed3/SAL/20017,0.0619544316516,0.000190480401835
20018,Albert Park (Vic.),2,Victoria,AUS,Australia,2.8392,http://linked.data.gov.au/dataset/asgsed3/SAL/20018,0.103085903749,0.000290677402015
20019,Alberton (Vic.),2,Victoria,AUS,Australia,45.1032,http://linked.data.gov.au/dataset/asgsed3/SAL/20019,0.592539121382,0.00466538133855
20020,Alberton West,2,Victoria,AUS,Australia,25.0832,http://linked.data.gov.au/dataset/asgsed3/SAL/20020,0.316851955307,0.0025940044964
