ï»¿Year,Year ending,Local Government Area,postcode,suburb_name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,SAL_CODE21
2025,March,Alpine,3691,Coral Bank,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,1,20637
2025,March,Alpine,3691,Dederang,B Property and deception offences,B10 Arson,B19 Other fire related offences,1,20726
2025,March,Alpine,3691,Dederang,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2,20726
2025,March,Alpine,3691,Dederang,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,20726
2025,March,Alpine,3691,Dederang,B Property and deception offences,B40 Theft,B49 Other theft,1,20726
2025,March,Alpine,3691,Dederang,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,1,20726
2025,March,Alpine,3691,Gundowring,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,1,21118
2025,March,Alpine,3691,Upper Gundowring,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,1,22615
2025,March,Alpine,3691,Upper Gundowring,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,2,22615
2025,March,Alpine,3697,Tawonga,A Crimes against the person,Other crimes against the person,Other crimes against the person,2,22470
2025,March,Alpine,3697,Tawonga,B Property and deception offences,B20 Property damage,B21 Criminal damage,2,22470
2025,March,Alpine,3697,Tawonga,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,1,22470
2025,March,Alpine,3698,Tawonga South,A Crimes against the person,Other crimes against the person,Other crimes against the person,1,22471
2025,March,Alpine,3698,Tawonga South,B Property and deception offences,B20 Property damage,B21 Criminal damage,1,22471
2025,March,Alpine,3699,Bogong,B Property and deception offences,B20 Property damage,B21 Criminal damage,1,20265
2025,March,Alpine,3699,Bogong,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2,20265
2025,March,Alpine,3699,Bogong,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,20265
2025,March,Alpine,3699,Falls Creek,B Property and deception offences,B40 Theft,B49 Other theft,1,20906
2025,March,Alpine,3699,Mount Beauty,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,3,21772
2025,March,Alpine,3699,Mount Beauty,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,1,21772
2025,March,Alpine,3699,Mount Beauty,A Crimes against the person,Other crimes against the person,Other crimes against the person,3,21772
2025,March,Alpine,3699,Mount Beauty,B Property and deception offences,B20 Property damage,B21 Criminal damage,7,21772
2025,March,Alpine,3699,Mount Beauty,B Property and deception offences,B20 Property damage,B22 Graffiti,1,21772
2025,March,Alpine,3699,Mount Beauty,B Property and deception offences,B40 Theft,B43 Steal from a retail store,2,21772
2025,March,Alpine,3699,Mount Beauty,B Property and deception offences,B40 Theft,B49 Other theft,2,21772
2025,March,Alpine,3699,Mount Beauty,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,1,21772
2025,March,Alpine,3699,Mount Beauty,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,2,21772
2025,March,Alpine,3737,Barwidgee,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,1,20159
2025,March,Alpine,3737,Barwidgee,B Property and deception offences,B40 Theft,B49 Other theft,1,20159
2025,March,Alpine,3737,Buffalo River,B Property and deception offences,B20 Property damage,B21 Criminal damage,1,20376
2025,March,Alpine,3737,Buffalo River,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,1,20376
2025,March,Alpine,3737,Gapsted,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,1,20964
2025,March,Alpine,3737,Gapsted,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,20964
2025,March,Alpine,3737,Gapsted,B Property and deception offences,B10 Arson,B11 Cause damage by fire,1,20964
2025,March,Alpine,3737,Gapsted,B Property and deception offences,B10 Arson,B19 Other fire related offences,2,20964
2025,March,Alpine,3737,Gapsted,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,20964
2025,March,Alpine,3737,Gapsted,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,20964
2025,March,Alpine,3737,Gapsted,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,3,20964
2025,March,Alpine,3737,Gapsted,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,1,20964
2025,March,Alpine,3737,Gapsted,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,2,20964
2025,March,Alpine,3737,Gapsted,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,5,20964
2025,March,Alpine,3737,Merriang,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,1,21660
2025,March,Alpine,3737,Merriang,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,1,21660
2025,March,Alpine,3737,Merriang South,A Crimes against the person,Other crimes against the person,Other crimes against the person,1,21661
2025,March,Alpine,3737,Mudgegonga,B Property and deception offences,B10 Arson,B19 Other fire related offences,1,21826
2025,March,Alpine,3737,Myrtleford,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,4,21863
