ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed,SAL_CODE21
SE-40019983,PR-40005974,Discovery Tree Kindergarten,DISCOVERY TREE EARLY LEARNING CENTRE PTY. LTD. ATF DISCOVERY TREE EARLY LEARNING CENTRE UNIT TRUST,Centre-Based Care,545 Clayton Rd,CLAYTON SOUTH,VIC,3169,395510870,,,22.0,24/12/2020,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-23,,,,,,,,,,,Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,20570
SE-40020005,PR-40024381,Gumboots Early Learning Jacksons Hill,GUMBOOTS EARLY LEARNING JACKSONS HILL PTY LTD,Centre-Based Care,81 Belleview Dr,SUNBURY,VIC,3429,388665563,,,112.0,11/2/2021,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Nov-23,,,,,,,,,,,Yes,No,No,No,No,No,No,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,22391
SE-40020007,PR-40024422,SchoolsOUT! Keelonith Primary,ACN 639 977 816 PTY LTD,Centre-Based Care,1 Blossom Dr,GREENVALE,VIC,3059,498841359,,,90.0,18/12/2020,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-22,,,,,,,,,,4/1/2022,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:30,8:45,6:30,8:45,6:30,8:45,6:30,8:45,6:30,8:45,,,,,15:30,18:30,15:30,18:30,15:30,18:30,15:30,18:30,15:30,18:30,,,,,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,No,21105
SE-40020026,PR-00002539,Camp Australia - Edgars Creek Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,"45 Macedon Pde, Edgars Creek Primary School",WOLLERT,VIC,3750,1300105343,,,60.0,6/1/2021,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-22,,,,,,,,,,30/01/2025,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:45,8:45,6:45,8:45,6:45,8:45,6:45,8:45,6:45,8:45,,,,,15:15,18:30,15:15,18:30,15:15,18:30,15:15,18:30,15:15,18:30,,,,,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,,,,,No,22820
SE-40020029,PR-40011145,Aintree PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,11 Timbertop Parade,AINTREE,VIC,3336,1300072410,,,75.0,29/12/2020,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-23,,,,,,,,,,8/1/2024,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:30,8:30,6:30,8:30,6:30,8:30,6:30,8:30,6:30,8:30,,,,,15:10,18:00,15:10,18:00,15:10,18:00,15:10,18:00,15:10,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,20011
SE-40020062,PR-40024414,Imagine Childcare and Kindergarten Coburg,Imagine Education Early Learning Centres No. 19 Pty Ltd ATF Imagine Education Early Learning Centres No. 19 Unit Trust,Centre-Based Care,311-321 Sydney Rd,COBURG,VIC,3058,393845004,,,115.0,11/6/2021,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-25,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Dec-22,,Yes,No,No,No,No,No,No,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,20596
SE-40020073,PR-40012975,INSPIRE EARLY LEARNING JOURNEY CHADSTONE,INSPIRE O2 EDUCATION HOLDING GROUP PTY LTD,Centre-Based Care,1210 Dandenong Rd,MURRUMBEENA,VIC,3163,395698999,,,94.0,12/1/2021,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb-23,,,,,,,,,,,Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,21849
SE-40020076,PR-40011145,Riverbend PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,1 Communal Rd,WYNDHAM VALE,VIC,3024,1300072410,,,90.0,31/12/2020,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-23,,,,,,,,,,8/1/2024,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:30,8:40,6:30,8:40,6:30,8:40,6:30,8:40,6:30,8:40,,,,,15:05,18:30,15:05,18:30,15:05,18:30,15:05,18:30,15:05,18:30,,,,,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,No,22883
SE-40020126,PR-40002866,In 2 Learn Traralgon South,Tilly's Dream PTY LTD,Centre-Based Care,13-19 Keith Morgan Dr,TRARALGON SOUTH,VIC,3844,490089123,,"?€?	    An approved provider of an education and care service that is listed on the Department of Education & Training Bushfire At-Risk Register must ensure that: 
?€?	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
?€?	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
?€?	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
?€?	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",24.0,16/12/2020,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb-23,,,,,,,,,,18/01/2021,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,22571
SE-40020130,PR-40023974,Beachwood Frankston South Pty Ltd,BEACHWOOD FRANKSTON SOUTH PTY LTD,Centre-Based Care,105 Humphries Rd,FRANKSTON SOUTH,VIC,3199,387409205,,,100.0,18/01/2022,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-24,,,,,,,,,,,Yes,No,No,No,No,No,Yes,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,20949
