ï»¿Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025Updating,2023-24 change_percentage,2014-24 Percentage, 2014-24 Anual Percentage,SAL_CODE21
ABBOTSFORD,792500.0,862500.0,925000.0,1187500.0,1280000.0,1192500.0,1050000.0,1200000,1365000,1346000,1257500.0,1232500.0,1292500.0,2.0,43.0,3.6,20002
ABERFELDIE,947500.0,1045000.0,1207500.0,1300000.0,1471000.0,1498500.0,1390000.0,1520000,1858000,1900000,1631000.0,1950000.0,1950000.0,20.0,87.0,6.4,20003
AINTREE,,,600000.0,600000.0,571000.0,557500.0,575000.0,616000,713500,756000,735000.0,730000.0,730000.0,1.0,0.0,,20011
AIREYS INLET,664000.0,625500.0,680000.0,715000.0,737500.0,869000.0,985000.0,1132500,1775000,1725000,1637500.0,1605000.0,1605000.0,2.0,157.0,9.9,20013
AIRPORT WEST,532000.0,575000.0,635000.0,742000.0,845000.0,845000.0,795000.0,812500,960000,911000,952500.0,940000.0,940000.0,1.0,63.0,5.0,20015
ALBANVALE,313000.0,328000.0,345000.0,439000.0,526500.0,546000.0,512000.0,545000,610000,600000,595000.0,613000.0,613000.0,3.0,87.0,6.5,20017
ALBERT PARK,1360000.0,1503000.0,1700000.0,1775000.0,2150000.0,2070000.0,1990000.0,1900000,2355000,2475000,2287500.0,2225000.0,2225000.0,3.0,48.0,4.0,20018
ALBION,379000.0,432000.0,481000.0,593000.0,730000.0,755000.0,675000.0,727500,832500,830000,765000.0,735000.0,735000.0,4.0,70.0,5.5,20021
ALEXANDRA,261000.0,247500.0,285000.0,275000.0,291500.0,335000.0,325000.0,380000,440000,550000,477500.0,512500.0,512500.0,7.0,107.0,7.6,20022
ALFREDTON,361500.0,362000.0,340500.0,375000.0,412500.0,439000.0,480000.0,512000,605000,650000,640000.0,605000.0,605000.0,5.0,67.0,5.3,20023
ALLANSFORD,310000.0,242500.0,259000.0,275000.0,280000.0,245000.0,300000.0,371000,445000,573500,600000.0,540000.0,540000.0,10.0,123.0,8.3,20028
ALPHINGTON,1080000.0,1029000.0,1296500.0,1272500.0,1560000.0,1612500.0,1455000.0,1865000,2280000,2195000,2110000.0,2080000.0,2080000.0,1.0,102.0,7.3,20034
ALTONA,572500.0,646500.0,718000.0,832500.0,950000.0,932500.0,890000.0,914000,1162500,1180000,1142500.0,1170000.0,1170000.0,2.0,81.0,6.1,20035
ALTONA MEADOWS,390000.0,413000.0,440000.0,495000.0,626500.0,631500.0,615000.0,640000,720000,740000,690000.0,717000.0,717000.0,4.0,74.0,5.7,20036
ALTONA NORTH,510000.0,555000.0,642500.0,725000.0,825000.0,835000.0,790000.0,830000,905000,942500,881000.0,917000.0,917000.0,4.0,65.0,5.1,20037
ANGLESEA,550000.0,612500.0,635000.0,652500.0,788000.0,870000.0,915000.0,1100000,1440000,1717500,1550000.0,1460000.0,1460000.0,6.0,138.0,9.1,20046
APOLLO BAY,450000.0,457500.0,435000.0,480000.0,545000.0,555000.0,915000.0,710000,924500,1000000,1080000.0,900000.0,900000.0,17.0,97.0,7.0,20049
ARARAT,180000.0,200000.0,210000.0,204500.0,199000.0,199000.0,215000.0,244000,313000,380000,375000.0,380000.0,380000.0,1.0,90.0,6.6,20053
ARDEER,330000.0,360000.0,381500.0,517500.0,595000.0,629000.0,572000.0,615000,719000,682000,628500.0,680000.0,680000.0,8.0,89.0,6.6,20062
ARMADALE,1675000.0,1750000.0,2172500.0,2364000.0,2300000.0,2341500.0,2490000.0,2625000,2700000,2735500,2740000.0,2380000.0,2380000.0,13.0,36.0,3.1,20066
ARMSTRONG CREEK,467500.0,441500.0,440000.0,450000.0,471000.0,535000.0,529500.0,545500,660000,720000,675000.0,657000.0,657000.0,3.0,49.0,4.1,20068
ASCOT (GREATER BENDIGO),349500.0,344500.0,350000.0,371000.0,358000.0,380000.0,415500.0,470000,562500,595000,609500.0,607500.0,607500.0,0.0,76.0,5.8,20073
ASCOT VALE,735000.0,810000.0,885000.0,1010000.0,1185000.0,1197500.0,1100000.0,1210000,1245000,1325000,1300500.0,1300000.0,1300000.0,0.0,60.0,4.8,20075
ASHBURTON,1000000.0,1200000.0,1435000.0,1567500.0,1812500.0,1712500.0,1641500.0,1600000,2000000,1986000,2015000.0,1907000.0,1907000.0,5.0,59.0,4.7,20077
