SAL_NAME21,SAL_CODE21,postcode
ABBEYARD,20001,3737
ABBOTSFORD,20002,3067
ABERFELDIE,20003,3040
ABERFELDY,20004,3825
ACHERON,20005,3714
ADA,20006,3833
ADAMS ESTATE,20007,3984
ADDINGTON,20008,3352
ADELAIDE LEAD,20009,3465
AGNES,20010,3962
AINTREE,20011,3336
AIRE VALLEY,20012,3237
AIREYS INLET,20013,3231
AIRLY,20014,3851
AIRPORT WEST,20015,3042
ALBACUTYA,20016,3424
ALBANVALE,20017,3021
ALBERT PARK,20018,3206
ALBERTON,20019,3971
ALBERTON WEST,20020,3971
ALBION,20021,3020
ALEXANDRA,20022,3714
ALFREDTON,20023,3350
ALLAMBEE,20024,3823
ALLAMBEE RESERVE,20025,3871
ALLAMBEE SOUTH,20026,3871
ALLANS FLAT,20027,3691
ALLANSFORD,20028,3277
ALLENDALE,20029,3364
ALLESTREE,20030,3305
ALMA,20031,3465
ALMONDS,20032,3727
ALMURTA,20033,3979
ALPHINGTON,20034,3078
ALTONA,20035,3018
ALTONA MEADOWS,20036,3028
ALTONA NORTH,20037,3025
ALVIE,20038,3249
AMHERST,20039,3371
AMOR,20040,3825
AMPHITHEATRE,20041,3468
ANAKIE,20042,3213
ANCONA,20043,3715
ANDERSON,20044,3995
ANGLERS REST,20045,3898
ANGLESEA,20046,3230
ANNUELLO,20047,3549
ANTWERP,20048,3414
APOLLO BAY,20049,3233
APPIN,20050,3579
APPIN SOUTH,20051,3579
APSLEY,20052,3319
ARARAT,20053,3377
ARAWATA,20054,3951
ARBUCKLE,20055,3858
ARCADIA,20056,3631
ARCADIA SOUTH,20057,3631
ARCHDALE,20058,3475
ARCHDALE JUNCTION,20059,3475
ARCHERTON,20060,3723
ARCHIES CREEK,20061,3995
ARDEER,20062,3022
ARDMONA,20063,3629
AREEGRA,20064,3480
ARGYLE,20065,3523
ARMADALE,20066,3143
ARMSTRONG,20067,3377
ARMSTRONG CREEK,20068,3217
ARNOLD,20069,3551
ARNOLD WEST,20070,3551
ARTHURS CREEK,20071,3099
ARTHURS SEAT,20072,3936
ASCOT (BALLARAT - VIC.),20073,3350
ASCOT (GREATER BENDIGO - VIC.),20074,3551
ASCOT VALE,20075,3032
ASHBOURNE,20076,3442
ASHBURTON,20077,3147
ASHWOOD,20078,3147
ASPENDALE,20079,3195
ASPENDALE GARDENS,20080,3195
ATHLONE,20081,3818
ATTWOOD,20082,3049
AUBREY,20083,3393
AUCHMORE,20084,3570
AVALON,20085,3212
AVENEL,20086,3664
AVOCA,20087,3467
AVON PLAINS,20088,3477
AVONDALE HEIGHTS,20089,3034
AVONMORE,20090,3559
AVONSLEIGH,20091,3782
