STOP_ID,STOP_NAME,MODE,LON,LAT,SAL_NAME21,SAL_CODE21
17204,Wallan Station,REGIONAL TRAIN,145.0053723,-37.416861,Wallan,22661
19980,Melton Station,REGIONAL TRAIN,144.5722158,-37.70335908,Melton South,21643
19981,Rockbank Station,REGIONAL TRAIN,144.6507131,-37.72919081,Thornhill Park,22509
19982,Deer Park Station,REGIONAL TRAIN,144.7708312,-37.77726729,Deer Park,20729
19998,Sunbury Station,REGIONAL TRAIN,144.7280304,-37.57914973,Sunbury,22391
20020,Ardeer Station,REGIONAL TRAIN,144.801542,-37.7830262,Sunshine West,22397
20029,Craigieburn Station,REGIONAL TRAIN,144.9431265,-37.60227314,Craigieburn,20661
20043,Southern Cross Station,REGIONAL TRAIN,144.9520576,-37.81838925,Docklands,20766
20288,Ararat Station,REGIONAL TRAIN,142.9369137,-37.28220485,Ararat,20053
20289,Avenel Station,REGIONAL TRAIN,145.229515,-36.89364778,Avenel,20086
20290,Bacchus Marsh Station,REGIONAL TRAIN,144.4375023,-37.68782809,Maddingley,21569
20291,Bairnsdale Station,REGIONAL TRAIN,147.6273983,-37.82877565,Bairnsdale,20103
20292,Ballan Station,REGIONAL TRAIN,144.225448,-37.60429951,Ballan,20108
20293,Ballarat Station,REGIONAL TRAIN,143.8595309,-37.55865829,Soldiers Hill (Vic.),22302
20294,Beaufort Station,REGIONAL TRAIN,143.3822337,-37.42787497,Beaufort (Vic.),20181
20295,Benalla Station,REGIONAL TRAIN,145.9839151,-36.54455031,Benalla,20204
20296,Bendigo Station,REGIONAL TRAIN,144.2828545,-36.76560312,Bendigo,20208
20297,Birregurra Station,REGIONAL TRAIN,143.7836252,-38.32880781,Birregurra,20247
20298,Broadford Station,REGIONAL TRAIN,145.0429373,-37.20731649,Broadford,20345
20299,Bunyip Station,REGIONAL TRAIN,145.7207575,-38.09910771,Bunyip,20411
20300,Camperdown Station,REGIONAL TRAIN,143.1509278,-38.22890091,Camperdown (Vic.),20460
20301,Castlemaine Station,REGIONAL TRAIN,144.2139434,-37.0628859,Castlemaine,20516
20302,Chiltern Station,REGIONAL TRAIN,146.6113748,-36.15563663,Chiltern,20551
20303,Clarkefield Station,REGIONAL TRAIN,144.7453029,-37.48355944,Clarkefield,20567
20304,Colac Station,REGIONAL TRAIN,143.5866531,-38.34337792,Colac,20607
20305,Corio Station,REGIONAL TRAIN,144.3797684,-38.07283126,Corio,20640
20306,Dingee Station,REGIONAL TRAIN,144.2311203,-36.36923291,Dingee,20757
20307,Donnybrook Station,REGIONAL TRAIN,144.9701244,-37.5420263,Donnybrook (Vic.),20773
20308,Drouin Station,REGIONAL TRAIN,145.8560167,-38.13637147,Drouin,20790
20309,Eaglehawk Station,REGIONAL TRAIN,144.2483799,-36.71852539,Eaglehawk,20823
20310,Echuca Station,REGIONAL TRAIN,144.7533347,-36.131043,Echuca,20838
20311,Elmore Station,REGIONAL TRAIN,144.6076404,-36.49483741,Elmore,20862
20312,Euroa Station,REGIONAL TRAIN,145.5680886,-36.7491306,Euroa,20892
20313,Garfield Station,REGIONAL TRAIN,145.6742247,-38.09103062,Garfield,20966
20314,Geelong Station,REGIONAL TRAIN,144.3549891,-38.14424211,Geelong,20973
20315,Gisborne Station,REGIONAL TRAIN,144.5989872,-37.45900212,New Gisborne,21921
20316,Heathcote Junction Station,REGIONAL TRAIN,145.0279465,-37.37166409,Wandong,22676
20317,Kangaroo Flat Station,REGIONAL TRAIN,144.2489566,-36.79483286,Kangaroo Flat (Vic.),21293
20318,Kerang Station,REGIONAL TRAIN,143.9244251,-35.73312162,Kerang,21328
20319,Kilmore East Station,REGIONAL TRAIN,144.9835204,-37.29365111,Kilmore East,21353
20320,Kyneton Station,REGIONAL TRAIN,144.4508016,-37.25836427,Kyneton,21414
20321,Lara Station,REGIONAL TRAIN,144.4144043,-38.02242764,Lara,21469
20323,Little River Station,REGIONAL TRAIN,144.4984849,-37.96292909,Little River (Vic.),21520
20324,Longwarry Station,REGIONAL TRAIN,145.7668603,-38.11099211,Longwarry,21538
20325,Macedon Station,REGIONAL TRAIN,144.5612584,-37.42366057,Macedon,21562
20326,Malmsbury Station,REGIONAL TRAIN,144.3753219,-37.18977634,Malmsbury,21585
20327,Marshall Station,REGIONAL TRAIN,144.3550567,-38.198549,Marshall,21615
20328,Moe Station,REGIONAL TRAIN,146.2605716,-38.17690856,Moe,21716
20329,Mooroopna Station,REGIONAL TRAIN,145.3582148,-36.39912828,Mooroopna,21756
20330,Morwell Station,REGIONAL TRAIN,146.3967531,-38.23671876,Morwell,21769
20331,Murchison East Station,REGIONAL TRAIN,145.2406356,-36.61314794,Murchison East,21833
20332,Nagambie Station,REGIONAL TRAIN,145.1603567,-36.7854641,Nagambie,21867
20333,Nar Nar Goon Station,REGIONAL TRAIN,145.5717587,-38.08150256,Nar Nar Goon,21878
20334,North Geelong Station,REGIONAL TRAIN,144.3522719,-38.12283523,North Geelong,21965
20335,North Shore Station,REGIONAL TRAIN,144.3653214,-38.09837714,North Shore (Vic.),21967
20336,Pyramid Station,REGIONAL TRAIN,144.1131327,-36.05311274,Pyramid Hill,22130
20337,Riddells Creek Station,REGIONAL TRAIN,144.6799507,-37.46490085,Riddells Creek,22172
20338,Rochester Station,REGIONAL TRAIN,144.698505,-36.36229401,Rochester (Vic.),22184
20339,Rosedale Station,REGIONAL TRAIN,146.7869664,-38.15640367,Rosedale (Vic.),22199
20341,Sale Station,REGIONAL TRAIN,147.0548051,-38.10310272,Sale,22226
20342,Seymour Station,REGIONAL TRAIN,145.1385123,-37.02439853,Seymour (Vic.),22265
20343,Shepparton Station,REGIONAL TRAIN,145.4059731,-36.38381106,Shepparton,22275
20344,South Geelong Station,REGIONAL TRAIN,144.3589871,-38.15865863,South Geelong,22308
20345,Springhurst Station,REGIONAL TRAIN,146.470417,-36.1858934,Springhurst,22326
20346,Stratford Station,REGIONAL TRAIN,147.0814695,-37.96704739,Stratford (Vic.),22369
20347,Swan Hill Station,REGIONAL TRAIN,143.5623432,-35.34111357,Swan Hill,22405
20348,Tallarook Station,REGIONAL TRAIN,145.1027949,-37.0923313,Tallarook,22430
20349,Terang Station,REGIONAL TRAIN,142.9114722,-38.23621199,Terang,22488
20350,Trafalgar Station,REGIONAL TRAIN,146.1547728,-38.2072423,Trafalgar (Vic.),22565
20351,Traralgon Station,REGIONAL TRAIN,146.5389007,-38.19854647,Traralgon,22569
20352,Tynong Station,REGIONAL TRAIN,145.6284189,-38.08488125,Tynong,22598
20353,Violet Town Station,REGIONAL TRAIN,145.7159235,-36.63881606,Violet Town,22635
20355,Wandong Station,REGIONAL TRAIN,145.026615,-37.35524821,Wandong,22676
20356,Wangaratta Station,REGIONAL TRAIN,146.3170385,-36.35510089,Wangaratta (Vic.),22680
20357,Warragul Station,REGIONAL TRAIN,145.932829,-38.16478926,Warragul,22698
20358,Warrnambool Station,REGIONAL TRAIN,142.475545,-38.38501396,Warrnambool,22710
20359,Winchelsea Station,REGIONAL TRAIN,143.9841339,-38.24013506,Winchelsea,22802
20360,Wodonga Station,REGIONAL TRAIN,146.8712657,-36.1058271,Wodonga,22819
20361,Woodend Station,REGIONAL TRAIN,144.5261788,-37.35929126,Woodend (Vic.),22833
20362,Yarragon Station,REGIONAL TRAIN,146.0630628,-38.20315754,Yarragon,22913
22238,Flinders Street Station,REGIONAL TRAIN,144.9669644,-37.81830513,Melbourne,21640
22239,North Melbourne Station,REGIONAL TRAIN,144.9421684,-37.80755595,West Melbourne,22757
22240,Footscray Station,REGIONAL TRAIN,144.9021403,-37.80157779,Footscray,20935
22241,Sunshine Station,REGIONAL TRAIN,144.8324638,-37.78833946,Sunshine (Vic.),22395
22244,Watergardens Station,REGIONAL TRAIN,144.7740944,-37.70097389,Taylors Lakes,22474
22247,Richmond Station,REGIONAL TRAIN,144.9901643,-37.82407446,Richmond (Vic.),22170
22248,Caulfield Station,REGIONAL TRAIN,145.0425196,-37.87722507,Caulfield East,20522
22249,Clayton Station,REGIONAL TRAIN,145.1206852,-37.92456781,Clayton,20569
22250,Dandenong Station,REGIONAL TRAIN,145.2097254,-37.98996792,Dandenong,20707
22251,Berwick Station,REGIONAL TRAIN,145.3449585,-38.0395774,Berwick,20224
22252,Pakenham Station,REGIONAL TRAIN,145.4863677,-38.08061383,Pakenham,22027
22253,Essendon Station,REGIONAL TRAIN,144.9160957,-37.75600088,Essendon,20885
22254,Broadmeadows Station,REGIONAL TRAIN,144.9195931,-37.68295879,Broadmeadows (Vic.),20346
22257,Sherwood Park Station,REGIONAL TRAIN,142.5388712,-38.38639224,Warrnambool,22710
43469,Wendouree Station,REGIONAL TRAIN,143.819999,-37.53973228,Wendouree,22745
44951,Creswick Station,REGIONAL TRAIN,143.8881237,-37.42460539,Creswick,20672
44952,Clunes Station,REGIONAL TRAIN,143.7820111,-37.30273815,Clunes (Vic.),20580
44953,Maryborough Station,REGIONAL TRAIN,143.7424023,-37.05090849,Maryborough (Vic.),21618
47482,Talbot Station,REGIONAL TRAIN,143.706148,-37.17184115,Talbot (Vic.),22423
47641,Waurn Ponds Station,REGIONAL TRAIN,144.3064372,-38.21595887,Mount Duneed,21790
47642,Epsom Station,REGIONAL TRAIN,144.3209245,-36.70675355,Epsom (Vic.),20879
