anzsco_code,occupation,industry,industry_code
1111,Chief Executives and Managing Directors,"Professional, Scientific and Technical Services",M
1111,Chief Executives and Managing Directors,Public Administration and Safety,O
1111,Chief Executives and Managing Directors,Health Care and Social Assistance,Q
1112,General Managers,"Professional, Scientific and Technical Services",M
1112,General Managers,Manufacturing,C
1112,General Managers,Construction,E
1113,Legislators,Public Administration and Safety,O
1211,Aquaculture Farmers,"Agriculture, Forestry and Fishing",A
1212,Crop Farmers,"Agriculture, Forestry and Fishing",A
1213,Livestock Farmers,"Agriculture, Forestry and Fishing",A
1214,Mixed Crop and Livestock Farmers,"Agriculture, Forestry and Fishing",A
1311,"Advertising, Public Relations and Sales Manager","Professional, Scientific and Technical Services",M
1311,"Advertising, Public Relations and Sales Manager",Wholesale Trade,F
1311,"Advertising, Public Relations and Sales Manager",Retail Trade,G
1321,Corporate Services Managers,Public Administration and Safety,O
1321,Corporate Services Managers,"Professional, Scientific and Technical Services",M
1321,Corporate Services Managers,Health Care and Social Assistance,Q
1322,Finance Managers,Financial and Insurance Services,K
1322,Finance Managers,"Professional, Scientific and Technical Services",M
1322,Finance Managers,Public Administration and Safety,O
1323,Human Resource Managers,Public Administration and Safety,O
1323,Human Resource Managers,"Professional, Scientific and Technical Services",M
1323,Human Resource Managers,Health Care and Social Assistance,Q
1324,Policy and Planning Managers,Public Administration and Safety,O
1324,Policy and Planning Managers,Financial and Insurance Services,K
1324,Policy and Planning Managers,Health Care and Social Assistance,Q
1325,Research and Development Managers,"Professional, Scientific and Technical Services",M
1325,Research and Development Managers,Manufacturing,C
1325,Research and Development Managers,Public Administration and Safety,O
1331,Construction Managers,Construction,E
1331,Construction Managers,"Professional, Scientific and Technical Services",M
1332,Engineering Managers,"Professional, Scientific and Technical Services",M
1332,Engineering Managers,Manufacturing,C
1332,Engineering Managers,"Electricity, Gas, Water and Waste Services",D
1333,"Importers, Exporters and Wholesalers",Wholesale Trade,F
1333,"Importers, Exporters and Wholesalers",Retail Trade,G
1333,"Importers, Exporters and Wholesalers","Transport, Postal and Warehousing",I
1334,Manufacturers,Manufacturing,C
1334,Manufacturers,Construction,E
1334,Manufacturers,Retail Trade,G
1335,Production Managers,Manufacturing,C
1335,Production Managers,Mining,B
1335,Production Managers,Construction,E
1336,"Supply, Distribution and Procurement Managers","Transport, Postal and Warehousing",I
1336,"Supply, Distribution and Procurement Managers",Wholesale Trade,F
1336,"Supply, Distribution and Procurement Managers",Manufacturing,C
1341,Child Care Centre Managers,Health Care and Social Assistance,Q
1341,Child Care Centre Managers,Education and Training,P
1342,Health and Welfare Services Managers,Health Care and Social Assistance,Q
1342,Health and Welfare Services Managers,Public Administration and Safety,O
1343,School Principals,Education and Training,P
1344,Other Education Managers,Education and Training,P
1344,Other Education Managers,Public Administration and Safety,O
1351,ICT Managers,"Professional, Scientific and Technical Services",M
1351,ICT Managers,Public Administration and Safety,O
1351,ICT Managers,Financial and Insurance Services,K
1391,Commissioned Officers (Management),Public Administration and Safety,O
1392,Senior Non-Commissioned Defence Force Officers,Public Administration and Safety,O
1399,Other Specialist Managers,Public Administration and Safety,O
1399,Other Specialist Managers,Manufacturing,C
1399,Other Specialist Managers,"Professional, Scientific and Technical Services",M
1411,Cafe and Restaurant Managers,Accommodation and Food Services,H
1412,Caravan Park and Camping Ground Managers,Accommodation and Food Services,H
1412,Caravan Park and Camping Ground Managers,Arts and Recreation Services,R
1413,Hotel and Motel Managers,Accommodation and Food Services,H
1414,Licensed Club Managers,Accommodation and Food Services,H
1414,Licensed Club Managers,Arts and Recreation Services,R
1419,Other Accommodation and Hospitality Managers,Accommodation and Food Services,H
1419,Other Accommodation and Hospitality Managers,Health Care and Social Assistance,Q
1419,Other Accommodation and Hospitality Managers,"Rental, Hiring and Real Estate Services",L
1421,Retail Managers,Retail Trade,G
1421,Retail Managers,Accommodation and Food Services,H
1421,Retail Managers,Wholesale Trade,F
1491,"Amusement, Fitness and Sports Centre Managers",Arts and Recreation Services,R
1491,"Amusement, Fitness and Sports Centre Managers",Education and Training,P
1491,"Amusement, Fitness and Sports Centre Managers",Accommodation and Food Services,H
1492,"Call, Contact Centre and Customer Service Managers","Professional, Scientific and Technical Services",M
1492,"Call, Contact Centre and Customer Service Managers",Health Care and Social Assistance,Q
1492,"Call, Contact Centre and Customer Service Managers",Public Administration and Safety,O
1493,Conference and Event Organisers,Administrative and Support Services,N
1493,Conference and Event Organisers,Arts and Recreation Services,R
1493,Conference and Event Organisers,Accommodation and Food Services,H
1494,Transport Services Managers,"Transport, Postal and Warehousing",I
1494,Transport Services Managers,"Rental, Hiring and Real Estate Services",L
1494,Transport Services Managers,Construction,E
1499,"Other Hospitality, Retail and Service Managers",Financial and Insurance Services,K
1499,"Other Hospitality, Retail and Service Managers","Rental, Hiring and Real Estate Services",L
1499,"Other Hospitality, Retail and Service Managers",Administrative and Support Services,N
2111,"Actors, Dancers and Other Entertainers",Arts and Recreation Services,R
2111,"Actors, Dancers and Other Entertainers",Information Media and Telecommunications,J
2111,"Actors, Dancers and Other Entertainers",Education and Training,P
2112,Music Professionals,Arts and Recreation Services,R
2112,Music Professionals,Education and Training,P
2113,Photographers,"Professional, Scientific and Technical Services",M
2113,Photographers,Arts and Recreation Services,R
2113,Photographers,"Rental, Hiring and Real Estate Services",L
2114,Visual Arts and Crafts Professionals,Arts and Recreation Services,R
2114,Visual Arts and Crafts Professionals,Manufacturing,C
2114,Visual Arts and Crafts Professionals,Retail Trade,G
2121,"Artistic Directors, Media Producers and Presenters",Information Media and Telecommunications,J
2121,"Artistic Directors, Media Producers and Presenters",Arts and Recreation Services,R
2121,"Artistic Directors, Media Producers and Presenters","Professional, Scientific and Technical Services",M
2122,"Authors, and Book and Script Editors",Arts and Recreation Services,R
2122,"Authors, and Book and Script Editors",Information Media and Telecommunications,J
2122,"Authors, and Book and Script Editors","Professional, Scientific and Technical Services",M
2123,"Film, Television, Radio and Stage Directors",Information Media and Telecommunications,J
2123,"Film, Television, Radio and Stage Directors","Professional, Scientific and Technical Services",M
2123,"Film, Television, Radio and Stage Directors",Arts and Recreation Services,R
2124,Journalists and Other Writers,Information Media and Telecommunications,J
2124,Journalists and Other Writers,"Professional, Scientific and Technical Services",M
2124,Journalists and Other Writers,Arts and Recreation Services,R
2211,Accountants,"Professional, Scientific and Technical Services",M
2211,Accountants,Financial and Insurance Services,K
2211,Accountants,Public Administration and Safety,O
2212,"Auditors, Company Secretaries and Corporate Treasurers","Professional, Scientific and Technical Services",M
2212,"Auditors, Company Secretaries and Corporate Treasurers",Financial and Insurance Services,K
2212,"Auditors, Company Secretaries and Corporate Treasurers",Public Administration and Safety,O
2221,Financial Brokers,Financial and Insurance Services,K
2222,Financial Dealers,Financial and Insurance Services,K
2222,Financial Dealers,"Professional, Scientific and Technical Services",M
2223,Financial Investment Advisers and Managers,Financial and Insurance Services,K
2223,Financial Investment Advisers and Managers,"Professional, Scientific and Technical Services",M
2231,Human Resource Professionals,Administrative and Support Services,N
2231,Human Resource Professionals,Public Administration and Safety,O
2231,Human Resource Professionals,Health Care and Social Assistance,Q
2232,ICT Trainers,"Professional, Scientific and Technical Services",M
2232,ICT Trainers,Education and Training,P
2232,ICT Trainers,Public Administration and Safety,O
2233,Training and Development Professionals,Education and Training,P
2233,Training and Development Professionals,Public Administration and Safety,O
2233,Training and Development Professionals,"Professional, Scientific and Technical Services",M
2241,"Actuaries, Mathematicians and Statisticians",Financial and Insurance Services,K
2241,"Actuaries, Mathematicians and Statisticians","Professional, Scientific and Technical Services",M
2241,"Actuaries, Mathematicians and Statisticians",Public Administration and Safety,O
2242,"Archivists, Curators and Records Managers",Public Administration and Safety,O
2242,"Archivists, Curators and Records Managers",Health Care and Social Assistance,Q
2242,"Archivists, Curators and Records Managers",Arts and Recreation Services,R
2243,Economists,Public Administration and Safety,O
2243,Economists,"Professional, Scientific and Technical Services",M
2243,Economists,Education and Training,P
2244,Intelligence and Policy Analysts,Public Administration and Safety,O
2244,Intelligence and Policy Analysts,Health Care and Social Assistance,Q
2245,Land Economists and Valuers,"Rental, Hiring and Real Estate Services",L
2245,Land Economists and Valuers,Construction,E
2245,Land Economists and Valuers,"Professional, Scientific and Technical Services",M
2246,Librarians,Information Media and Telecommunications,J
2246,Librarians,Education and Training,P
2246,Librarians,Arts and Recreation Services,R
2247,Management and Organisation Analysts,"Professional, Scientific and Technical Services",M
2247,Management and Organisation Analysts,Financial and Insurance Services,K
2247,Management and Organisation Analysts,Public Administration and Safety,O
2249,Other Information and Organisation Professionals,Public Administration and Safety,O
2249,Other Information and Organisation Professionals,"Professional, Scientific and Technical Services",M
2249,Other Information and Organisation Professionals,Financial and Insurance Services,K
2251,Advertising and Marketing Professionals,"Professional, Scientific and Technical Services",M
2251,Advertising and Marketing Professionals,Retail Trade,G
2251,Advertising and Marketing Professionals,Financial and Insurance Services,K
2252,ICT Sales Professionals,"Professional, Scientific and Technical Services",M
2252,ICT Sales Professionals,Wholesale Trade,F
2252,ICT Sales Professionals,Retail Trade,G
2253,Public Relations Professionals,Public Administration and Safety,O
2253,Public Relations Professionals,"Professional, Scientific and Technical Services",M
2253,Public Relations Professionals,Health Care and Social Assistance,Q
2254,Technical Sales Representatives,Wholesale Trade,F
2254,Technical Sales Representatives,Manufacturing,C
2254,Technical Sales Representatives,Retail Trade,G
2311,Air Transport Professionals,"Transport, Postal and Warehousing",I
2311,Air Transport Professionals,Public Administration and Safety,O
2312,Marine Transport Professionals,"Transport, Postal and Warehousing",I
2312,Marine Transport Professionals,"Professional, Scientific and Technical Services",M
