anzsco_code,occupation,education,percentage
1111,Chief Executives and Managing Directors,Post Graduate/ Graduate Diploma or Graduate Certificate ,25.3
1112,General Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,23.6
1113,Legislators,Post Graduate/ Graduate Diploma or Graduate Certificate ,24.2
1211,Aquaculture Farmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.0
1212,Crop Farmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.3
1213,Livestock Farmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.2
1214,Mixed Crop and Livestock Farmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.0
1311,"Advertising, Public Relations and Sales Manager",Post Graduate/ Graduate Diploma or Graduate Certificate ,16.7
1321,Corporate Services Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,20.1
1322,Finance Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,26.8
1323,Human Resource Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,24.8
1324,Policy and Planning Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,39.8
1325,Research and Development Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,47.5
1331,Construction Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.3
1332,Engineering Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,26.6
1333,"Importers, Exporters and Wholesalers",Post Graduate/ Graduate Diploma or Graduate Certificate ,8.4
1334,Manufacturers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.4
1335,Production Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,9.8
1336,"Supply, Distribution and Procurement Managers",Post Graduate/ Graduate Diploma or Graduate Certificate ,14.8
1341,Child Care Centre Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,21.6
1342,Health and Welfare Services Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,28.5
1343,School Principals,Post Graduate/ Graduate Diploma or Graduate Certificate ,43.9
1344,Other Education Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,52.0
1351,ICT Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,26.0
1391,Commissioned Officers (Management),Post Graduate/ Graduate Diploma or Graduate Certificate ,25.2
1392,Senior Non-Commissioned Defence Force Officers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.8
1399,Other Specialist Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,23.4
1411,Cafe and Restaurant Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.2
1412,Caravan Park and Camping Ground Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.4
1413,Hotel and Motel Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.1
1414,Licensed Club Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.3
1419,Other Accommodation and Hospitality Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,9.6
1421,Retail Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.3
1491,"Amusement, Fitness and Sports Centre Managers",Post Graduate/ Graduate Diploma or Graduate Certificate ,5.5
1492,"Call, Contact Centre and Customer Service Managers",Post Graduate/ Graduate Diploma or Graduate Certificate ,9.9
