anzsco_code,occupation,share_fulltime,avg_fulltime_hours,median_fulltime_earnings,median_fulltime_hourly_earnings
1111,Chief Executives and Managing Directors,86.0,50.0,,
1112,General Managers,89.0,47.0,,
1113,Legislators,69.0,52.0,,
1211,Aquaculture Farmers,68.0,46.0,,
1212,Crop Farmers,83.0,51.0,,
1213,Livestock Farmers,68.0,55.0,,
1214,Mixed Crop and Livestock Farmers,81.0,55.0,,
1311,"Advertising, Public Relations and Sales Manager",90.0,44.0,2331.0,62.0
1321,Corporate Services Managers,86.0,44.0,2958.0,79.0
1322,Finance Managers,88.0,45.0,3120.0,84.0
1323,Human Resource Managers,89.0,45.0,2946.0,82.0
1324,Policy and Planning Managers,90.0,44.0,2584.0,70.0
1325,Research and Development Managers,83.0,44.0,2448.0,65.0
1331,Construction Managers,92.0,47.0,3691.0,97.0
1332,Engineering Managers,91.0,45.0,2961.0,80.0
1333,"Importers, Exporters and Wholesalers",77.0,46.0,1707.0,45.0
1334,Manufacturers,83.0,45.0,,
1335,Production Managers,95.0,47.0,2588.0,64.0
1336,"Supply, Distribution and Procurement Managers",93.0,46.0,2675.0,71.0
1341,Child Care Centre Managers,76.0,41.0,1412.0,38.0
1342,Health and Welfare Services Managers,82.0,43.0,2016.0,53.0
1343,School Principals,95.0,51.0,,
1344,Other Education Managers,91.0,44.0,2640.0,70.0
1351,ICT Managers,94.0,44.0,3534.0,93.0
1391,Commissioned Officers (Management),91.0,48.0,,
1392,Senior Non-Commissioned Defence Force Officers,90.0,45.0,,
1399,Other Specialist Managers,92.0,43.0,2746.0,72.0
1411,Cafe and Restaurant Managers,77.0,46.0,1441.0,37.0
1412,Caravan Park and Camping Ground Managers,96.0,51.0,,
1413,Hotel and Motel Managers,84.0,50.0,,
1414,Licensed Club Managers,88.0,42.0,,
1419,Other Accommodation and Hospitality Managers,65.0,48.0,,
1421,Retail Managers,81.0,45.0,1472.0,36.0
1491,"Amusement, Fitness and Sports Centre Managers",74.0,43.0,1806.0,48.0
1492,"Call, Contact Centre and Customer Service Managers",94.0,43.0,1888.0,50.0
1493,Conference and Event Organisers,78.0,41.0,1538.0,40.0
1494,Transport Services Managers,85.0,48.0,1771.0,46.0
1499,"Other Hospitality, Retail and Service Managers",84.0,44.0,2213.0,57.0
2111,"Actors, Dancers and Other Entertainers",28.0,45.0,,
2112,Music Professionals,41.0,44.0,,
2113,Photographers,69.0,44.0,,
2114,Visual Arts and Crafts Professionals,52.0,45.0,,
2121,"Artistic Directors, Media Producers and Presenters",81.0,46.0,1866.0,47.0
2122,"Authors, and Book and Script Editors",60.0,44.0,2500.0,62.0
2123,"Film, Television, Radio and Stage Directors",84.0,45.0,1862.0,48.0
2124,Journalists and Other Writers,69.0,42.0,1842.0,49.0
2211,Accountants,85.0,43.0,1841.0,48.0
2212,"Auditors, Company Secretaries and Corporate Treasurers",90.0,43.0,2046.0,54.0
2221,Financial Brokers,88.0,45.0,1635.0,43.0
2222,Financial Dealers,86.0,47.0,2407.0,63.0
2223,Financial Investment Advisers and Managers,86.0,45.0,2320.0,61.0
2231,Human Resource Professionals,83.0,41.0,1870.0,50.0
2232,ICT Trainers,80.0,42.0,,
2233,Training and Development Professionals,81.0,42.0,2146.0,57.0
2241,"Actuaries, Mathematicians and Statisticians",91.0,42.0,2213.0,58.0
2242,"Archivists, Curators and Records Managers",73.0,41.0,1995.0,54.0
2243,Economists,91.0,43.0,1954.0,
2244,Intelligence and Policy Analysts,81.0,41.0,1936.0,52.0
2245,Land Economists and Valuers,82.0,45.0,2021.0,53.0
2246,Librarians,69.0,39.0,1780.0,48.0
2247,Management and Organisation Analysts,83.0,43.0,2308.0,61.0
2249,Other Information and Organisation Professionals,86.0,41.0,2166.0,57.0
2251,Advertising and Marketing Professionals,82.0,42.0,1803.0,48.0
2252,ICT Sales Professionals,93.0,43.0,3201.0,82.0
2253,Public Relations Professionals,78.0,42.0,1949.0,53.0
2254,Technical Sales Representatives,93.0,42.0,2612.0,68.0
2311,Air Transport Professionals,88.0,43.0,2496.0,65.0
2312,Marine Transport Professionals,88.0,54.0,2218.0,52.0
2321,Architects and Landscape Architects,81.0,44.0,1688.0,44.0
2322,Surveyors and Spatial Scientists,93.0,46.0,2301.0,59.0
2323,"Fashion, Industrial and Jewellery Designers",85.0,43.0,1500.0,40.0
2324,"Graphic and Web Designers, and Illustrators",77.0,42.0,1500.0,40.0
2325,Interior Designers,73.0,43.0,2612.0,65.0
