_CODE_2021,Tot_P_P
20001,4
20002,9088
20003,3925
20004,7
20005,146
20006,0
20007,83
20008,65
20009,85
20010,61
20011,7982
20012,0
20013,979
20014,160
20015,8173
20016,0
20017,5641
20018,6044
20019,297
20020,76
20021,4334
20022,2801
20023,11822
20024,24
20025,96
20026,61
20027,297
20028,1410
20029,185
20030,168
20031,195
20032,31
20033,66
20034,5702
20035,11490
20036,18479
20037,12962
20038,141
20039,63
20040,4
20041,223
20042,734
20043,99
20044,26
20045,31
20046,3208
20047,40
20048,53
20049,1790
20050,12
20051,38
20052,329
20053,8500
20054,92
20055,0
20056,212
20057,95
20058,23
20059,12
20060,16
20061,32
20062,3170
20063,497
20064,18
20065,272
20066,9368
20067,90
20068,11247
20069,56
20070,19
20071,478
20072,414
20073,93
20074,2571
20075,15197
20076,242
20077,7952
20078,7154
20079,7285
20080,6427
20081,147
20082,3309
20083,3
20084,5
20085,255
20086,1112
20087,1356
20088,8
20089,12388
20090,42
20091,844
20092,452
20093,984
20094,39
20095,7808
20096,347
20097,1610
20098,10
20099,355
20100,39
20101,56
20102,120
20103,7905
20104,180
20105,5392
20106,114
20107,59
20108,3392
20109,71
20110,19
20111,5378
20112,5937
20113,4041
20114,120
20115,254
20116,199
20117,77
20118,135
20119,281
20120,2371
20121,471
20122,9
20123,13495
20124,21302
20125,491
20126,282
20127,115
20128,44
20129,855
20130,62
20131,749
20132,78
20133,6470
20134,22
20135,27
20136,3041
20137,82
20138,185
20139,11
20140,141
20141,487
20142,49
20143,41
20144,229
20145,12
20146,987
20147,188
20148,149
20149,458
20150,291
20151,247
20152,22
20153,11
20154,45
20155,5
20156,39
20157,33
20158,10
20159,96
20160,269
20161,136
20162,4353
20163,23
20164,405
20165,1141
20166,76
20167,0
20168,30
20169,2166
20170,22
20171,445
20172,95
20173,12262
20174,9014
20175,7267
20176,2997
20177,213
20178,167
20179,53
20180,44
20181,1712
20182,13947
20183,24
20184,394
20185,125
20186,4274
20187,17
20188,3894
20189,1398
20190,1670
20191,5602
20192,5083
20193,169
20194,5
20195,1346
20196,393
20197,59
20198,1996
20199,0
20200,151
20201,15066
20202,72
20203,303
20204,10822
20205,173
20206,69
20207,267
20208,5652
20209,109
20210,93
20211,56
20212,138
20213,42
20214,17921
20215,30159
20216,9
20217,165
20218,52
20219,194
20220,35
20221,180
20222,37
20223,174
20224,50298
20225,113
20226,135
20227,84
20228,13
20229,485
20230,101
20231,312
20232,337
20233,4642
20234,8
20235,281
20236,38
20237,60
20238,61
20239,0
20240,11
20241,49
20242,134
20243,8
20244,694
20245,9
20246,748
20247,942
20248,4276
20249,2124
20250,274
20251,6389
20252,14478
20253,7627
20254,10939
20255,38
20256,387
20257,2786
20258,43
20259,237
20260,1290
20261,82
20262,25
20263,100
20264,84
20265,8
20266,88
20267,93
20268,19
20269,14
20270,307
20271,4
20272,185
20273,15
20274,647
20275,48
20276,107
20277,52
20278,6855
20279,610
20280,314
20281,48
20282,333
20283,666
20284,949
20285,159
20286,0
20287,5
20288,1023
20289,147
20290,9
20291,38
20292,14
20293,18
20294,142
20295,135
20296,13
20297,53
20298,166
20299,54
20300,940
20301,108
20302,79
20303,33
20304,23607
20305,59
20306,85
20307,6739
20308,154
20309,209
20310,51
20311,42
20312,106
20313,44
20314,14353
20315,12337
20316,8491
20317,19
20318,12
20319,46
20320,25
20321,94
20322,304
20323,14
20324,9682
20325,39
20326,1060
20327,151
20328,29
20329,47
20330,1133
20331,3220
20332,117
20333,133
20334,54
20335,341
20336,2620
20337,23252
20338,16757
20339,181
20340,11
20341,56
20342,80
20343,6
20344,42
20345,4592
20346,12524
20347,75
20348,29
20349,45
20350,46
20351,10782
20352,1979
20353,16
20354,213
20355,65
20356,4489
20357,99
20358,114
20359,127
20360,0
20361,24896
20362,13279
20363,14746
20364,820
20365,112
20366,201
20367,102
20368,156
20369,228
20370,21
20371,52
20372,0
20373,146
20374,0
20375,284
20376,285
20377,104
20378,5
20379,0
20380,19
20381,668
20382,19
20383,77
20384,89
20385,48
20386,11219
20387,714
20388,63
20389,45
20390,551
20391,182
20392,101
20393,313
20394,229
20395,512
20396,42
20397,0
20398,61
20399,28068
20400,63
20401,65
20402,32
20403,93
20404,302
20405,29
20406,44
20407,0
20408,18
20409,3797
20410,270
20411,3131
20412,95
20413,0
20414,14
20415,20
20416,47
20417,37
20418,794
20419,5800
20420,6377
20421,36
20422,241
20423,24
20424,24
20425,249
20426,15147
20427,10675
20428,596
20429,49
20430,7
20431,591
20432,129
20433,134
20434,160
20435,117
20436,161
20437,482
20438,10
20439,52
20440,25
20441,10038
20442,0
20443,181
20444,4476
20445,178
20446,45
20447,391
20448,42
20449,10
20450,30
20451,186
20452,0
20453,21965
20454,292
20455,4977
20456,21
20457,2071
20458,50
20459,51
20460,3354
20461,4098
20462,4
20463,82
20464,197
20465,16
20466,650
20467,45
20468,7800
20469,151
20470,148
20471,5
20472,34
20473,1111
